,ISBN,bookTitle,yearOfPublication,publisher
64206,743419367,The Secret of Shady Glen,2001,Aladdin
64210,671624687,ESKIMO SECRET ND76 (Nancy Drew (Paperback)),1986,Aladdin
64214,671872095,The RIDDLE IN THE RARE BOOK (NANCY DREW 126) : THE RIDDLE IN THE RARE BOOK,1995,Aladdin
64218,671872036,The Case Of The Floating Crime (Nancy Drew),1994,Aladdin
64222,671884603,Danger Down Under (A Nancy Drew and Hardy Boys Super Mystery),1995,Simon Pulse
64226,671781731,Evil In Amsterdam (Nancy Drew Hardy Boy Supermystery ) : Evil In Amsterdam (Nancy Drew &amp; Hardy Boys Super Mysteries (Paperback)),1993,Simon Pulse
64230,671537504,Exhibition Of Evil Nancy Drew And Hardy Boys Supermystery (Nancy Drew &amp; Hardy Boys Super Mysteries (Paperback)),1997,Simon Pulse
64234,671781693,Hits and Misses (A Nancy Drew and Hardy Boys Supermystery),1993,Simon Pulse
64238,671730568,The Nutcracker Ballet Mystery,1992,Aladdin
64242,671674641,MYSTERY TRAIN (NANCY DREW HARDY BOY SUPERMYSTERY 8) : MYSTERY TRAIN,1990,Simon Pulse
64246,067153551X,The Puppy Problem (Nancy Drew Notebook 12) : The Puppy Problem,1996,Aladdin
64250,671879472,The SECRET SANTA (NANCY DREW NOTEBOOK 3) : THE SECRET SANTA,1994,Aladdin
64254,671625578,Smile and Say Murder (Nancy Drew Files (Paperback)),1986,Pocket Books
64258,689861540,A Taste of Danger (Nancy Drew),2003,Aladdin
64262,671692801,The SILENT SUSPECT NANCY DREW #95 (Nancy Drew (Paperback)),1990,Aladdin
64266,671641948,Nancy Drew Files #03 (Nancy Drew Files (Paperback)),1986,Pocket Books
64270,671497359,ENEMY MATCH   ND73 (Nancy Drew (Paperback)),1984,Aladdin
64274,448195305,Clue of the Velvet Mask (Nancy Drew Mystery Series No. 30),1974,Putnam Pub Group (L)
64278,671464639,The Silver Cobweb (Nancy Drew #71),1983,Aladdin
64282,671568027,CAMPUS EXPOSURES: NANCY DREW ON CAMPUS #13,1996,Simon Pulse
64286,671730517,The Clue in the Antique Trunk (Nancy Drew),1992,Aladdin
64290,671001213,The E-MAIL MYSTERY: NANCY DREW DIGEST #144,1998,Aladdin
64294,671662309,PHANTOM VENICEND78,1988,Aladdin
64298,671002163,IN THE SPOTLIGHT NANCY DREW ON CAMPUS 24,1997,Simon Pulse
64302,671881922,PICTURE OF GUILT (NANCY DREW FILES 101) : PICTURE OF GUILT,1994,Simon Pulse
64306,448095408,Moonstone Castle Mystery (Nancy Drew (Hardcover)),1963,Grosset  Dunlap
64310,671674684,TOUR OF DANGER (NANCY DREW HARDY BOY SUPERMYSTERY 12) : TOUR OF DANGER (Nancy Drew &amp; Hardy Boys Super Mysteries (Paperback)),1992,Simon Pulse
64314,067167465X,BEST OF ENEMIES (NANCY DREW HARDY BOY SUPERMYSTERY 9) : BEST OF ENEMIES (Nancy Drew and Hardy Boys Supermystery),1991,Simon Pulse
64318,671501941,SUPER SLEUT2 NDHBP (Nancy Drew &amp; Hardy Boys Super Sleuths),1984,Aladdin
64322,671422987,GREEK SYMBOL  ND P,1981,Aladdin
64326,671642278,Recipe for Murder (Nancy Drew Files (Paperback)),1988,Pocket Books
64330,671674935,Nancy Drew Files Case #41-Something to Hide,1989,Simon Pulse
64334,671781812,HOLLYWOOD HORROR (NANCY DREW HARDY BOY SUPERMYSTERY ) : HOLLYWOOD HORROR (Nancy Drew &amp; Hardy Boys Super Mysteries (Paperback)),1994,Simon Pulse
64338,671674676,NEW YEAR'S EVIL (NANCY DREW HARDY BOY SUPERMYSTERY ) : NEW YEAR'S EVIL (Nancy Drew and Hardy Boys Super Mystery),1991,Simon Pulse
64342,671024930,It's No Joke!: Nancy Drew Notebooks #30 (Nancy Drew Notebooks),1999,Aladdin
64346,448195437,The Mystery of the 99 Steps (Her Nancy Drew Mystery Stories),1966,Price Stern Sloan Pub
64350,671000497,The Legend of the Lost Gold (NANCY DREW ON CAMPUS),1997,Aladdin
64354,689861826,Werewolf in a Winter Wonderland (Nancy Drew),2003,Aladdin
64358,671641387,The Nancy Drew Files Case #15 (Nancy Drew Files (Paperback)),1987,Pocket Books
64362,671008161,The CLUE IN THE GLUE NANCY DREW NOTEBOOKS 22,1998,Aladdin
64366,671568752,SKIPPING A BEAT: NANCY DREW FILES #117 (Nancy Drew Files (Paperback)),1996,Simon Pulse
64370,671649183,A CRIME FOR CHRISTMAS NANCY DREW &amp; HARDY BOYS SUPERMYSTERY (Nancy Drew Hardy Boys Super Mystery),1988,Simon Pulse
64374,671885146,COPPER CANYON CONSPIRACY (NANCY DREW HARDY BOY SUPERMYSTERY 21) : COPPER CANYON CONSPIRACY (Nancy Drew &amp; Hardy Boys Super Mysteries (Paperback)),1994,Simon Pulse
64378,671458612,Whose Pet is Best? (Nancy Drew Notebooks (Paperback)),1997,Minstrel
64382,6922066,The Secret of the Golden Pavilion (Nancy Drew Mysteries),1983,HarperCollins Publishers
64386,671527541,GETTING CLOSER (NANCY DREW ON CAMPUS 8) : GETTING CLOSER,1996,Simon Pulse
64390,671527584,PARTY WEEKEND NANCY DREW ON CAMPUS 10 (Nancy Drew on Campus),1996,Simon Pulse
64394,671882015,HIDDEN MEANINGS (NANCY DREW FILES 110) : HIDDEN MEANINGS (Nancy Drew Files (Paperback)),1995,Simon Pulse
64398,671882031,For Love or Money : The Nancy Drew Files No 112,1995,Simon Pulse
64402,671649620,The CLUE IN THE CAMERA (NANCY DREW 82) : THE CLUE IN THE CAMERA (Nancy Drew No 82),1988,Aladdin
64406,671527592,In The Name Of Love Nancy Drew On Campus 11 (Nancy Drew on Campus),1996,Simon Pulse
64410,671527649,JUST THE TWO OF US: NANCY DREW ON CAMPUS #12,1996,Simon Pulse
64414,671027875,Mystery at Moorsea Manor: Nancy Drew #150,1999,Aladdin
64418,671700286,MODEL CRIME (NANCY DREW FILES 51) : MODEL CRIME,1990,Simon Pulse
64422,671794825,STAGE FRIGHT (NANCY DREW FILES 90) : STAGE FRIGHT (Nancy Drew Files (Paperback)),1993,Simon Pulse
64426,689865678,"A Race Against Time (Nancy Drew \All New\"" Girl Detective #2)""",2004,Aladdin
64430,068986566X,"Without a Trace (Nancy Drew \All New\"" Girl Detective #1)""",2004,Aladdin
64434,671746758,PARIS CONNECTION (NANCY DREW HARDY BOY SUPERMYSTERY 6) : PARIS CONNECTION (Nancy Drew &amp; Hardy Boys Supermystery),1991,Simon Pulse
64438,671746170,CRIME FOR CHRISTMAS (NANCY DREW HARDY BOY SUPERMYSTERY ) : CRIME FOR CHRISTMAS,1991,Simon Pulse
64442,671879529,The BEST DETECTIVE (NANCY DREW NOTEBOOK 8) : THE BEST DETECTIVE,1995,Aladdin
64446,067152707X,The THANKSGIVING SURPRISE (NANCY DREW NOTEBOOK 9) : THE THANKSGIVING SURPRISE,1995,Aladdin
64450,1557091587,The Mystery at Lilac Inn (Nancy Drew Mystery Stories),1994,Applewood Books
64454,671643932,Ndcf Deadly Intent (Nancy Drew Files (Paperback)),1986,Simon Schuster Trade
64458,067149743X,BLUEBEARD RM  ND77 (Nancy Drew (Paperback)),1985,Aladdin
64462,671007513,The Case of Capital Intrigue (NANCY DREW ON CAMPUS),1998,Aladdin
64466,671423479,KACHINA DOLL  ND P (Nancy Drew (Paperback)),1981,Aladdin
64470,671505076,The BABY SITTER BURGLARIES (NANCY DREW 129) (NANCY DREW ON CAMPUS),1996,Aladdin
64474,743406621,The Secret of the Fiery Chamber,2001,Aladdin
64478,067156806X,NEW BEGINNINGS: NANCY DREW ON CAMPUS #17,1997,Simon Pulse
64482,743406613,The Curse Of The Black Cat (NANCY DREW ON CAMPUS),2001,Aladdin
64486,671787527,The Chinese New Year Mystery (Nancy Drew Notebooks),2000,Aladdin
64490,671535528,The WEDDING GIFT GOOF: NANCY DREW NOTEBOOK #13,1996,Aladdin
64494,671642294,Sinister Paradise (Nancy Drew Files (Paperback)),1988,Pocket Books
64498,1557092621,Clue of the Tapping Heels,2001,Applewood Books
64502,671674617,The LAST RESORT (NANCY DREW HARDY BOY SUPERMYSTERY 5) : THE LAST RESORT (Nancy Drew and the Hardy Boys Supermystery),1990,Simon Pulse
64506,6915752,The Clue of the Black Keys (Nancy Drew Mystery Stories),1982,HarperCollins Publishers
64510,6923119,The Clue of the Velvet Mask (Nancy Drew Mysteries),1985,HarperCollins Publishers
64514,671007793,SNOWBOUND NANCY DREW ON CAMPUS 25,1998,Simon Pulse
64518,000160418X,The Clue in the Crumbling Wall,1984,HarperCollins Publishers
64522,068986146X,Danger on the Great Lakes,2003,Aladdin
64526,448090961,Mountain-peak mystery (Her The Dana girls mystery stories ; 16),1978,Grosset  Dunlap
64530,067147555X,HAUNTD CAROUS ND72 (Nancy Drew (Paperback)),1983,Aladdin
64534,671624725,MYS WING LION ND65 (Nancy Drew (Paperback)),1986,Aladdin
64538,671624741,KACHINA DOLL  ND62 (Nancy Drew (Paperback)),1986,Aladdin
64542,671503537,WICKED WAYS (NANCY DREW FILES 113) : WICKED WAYS (Nancy Drew Files (Paperback)),1996,Simon Pulse
64546,671736604,HIT AND RUN HOLIDAY (NANCY DREW FILES 5) : HIT AND RUN HOLIDAY (Nancy Drew Files),1991,Simon Pulse
64550,671746111,DEADLY INTENT (NANCY DREW FILES 2) : DEADLY INTENT,1991,Simon Pulse
64554,671423711,MYS WING LION ND P,1982,Aladdin
64558,671646931,Playing With Fire (Nancy Drew Files Case #26),1988,Pocket Books
64562,671793020,The Case of the Twin Teddy Bears (NANCY DREW ON CAMPUS),1993,Aladdin
64566,671019317,NANCY DREW FILES COLLECTOR'S ED (WRONG TRACK/NOBODY'S BUSINESS/RUNNING SCARED),1998.0,Simon  Schuster Children's Publishing
64570,671019309,The NANCY DREW FILES COLLECTORS EDITION : 52 DANGER FOR HIRE 56 MAKE NO MISTAKE 60 POISON PEN (The Nancy Drew Files),1998.0,Simon  Schuster Children's Publishing
64574,671794779,The Nancy Drew Files Case #85: Sea of Suspicion,1993.0,Simon Pulse
64578,067103474X,The Black Velvet Mystery: Nancy Drew Notebooks #32 (Nancy Drew Notebooks),1999.0,Aladdin
64582,671646982,TROUBLE IN TAHITI: NANCY DREW FILES #31 (The Nancy Drew Files Case 31),1989.0,Simon Pulse
64586,671527460,SECRET RULES (NANCY DREW ON CAMPUS 5) : SECRET RULES,1996.0,Simon Pulse
64590,671884611,Dead on Arrival: A Nancy Drew and Hardy Boys Super Mystery,1995.0,Simon Pulse
64594,051513399X,Smoke in Mirrors,2002,Jove Books
64596,373835426,Witchcraft,2003,Harlequin
64598,1551665638,Call It Destiny (Mira),2000,Mira Books
64600,671728571,Wildest Hearts,1993,Pocket
64602,671516922,Trust Me,1995,Pocket
64604,373970196,Twist Of Fate,1986,Worldwide Library
64606,515129224,Soft Focus,2000,Jove Books
64608,671676237,The GOLDEN CHANCE,1990,Pocket
64610,515130923,Dawn in Eclipse Bay,2001,Jove Books
64612,1551665557,Family Way,1999,Mira
64614,515131741,Lost and Found,2001,Jove Books
64616,515136182,Light in Shadow,2003,Jove Books
64618,671019619,Grand Passion,1997,Pocket
64620,446363731,Midnight Jewels,1992,Warner Books
64622,671019651,Hidden Talents,1997,Pocket
64624,671523074,Eye of the Beholder,1999,Pocket
64626,515133418,Summer in Eclipse Bay,2002,Jove Books
64628,399149384,Light in Shadow,2002,Putnam Publishing Group
64630,1551660431,Full Bloom,1995,Mira
64632,037321877X,Dangerous Affair,2004,Silhouette
64634,446600814,Crystal Flame,1994,Warner Books
64636,373252579,Main Attraction,1987,Harlequin
64638,373834683,Harlequin Temptation 2-In-1 Collection,2001,Harlequin
64640,671019635,Family Man,1997,Pocket
64642,446363499,A Coral Kiss,1992,Warner Books
64644,671676245,SILVER LININGS : SILVER LININGS,1991,Pocket
64646,743467191,Wildest Hearts,2003,Pocket
64648,445206578,Gift of Fire,1989,Warner Books
64650,399146695,Lost and Found,2001,G. P. Putnam's Sons
64652,671524097,Sharp Edges,1998,Pocket Star
64654,671523090,Flash,1999,Pocket Star
64656,671524208,Deep Waters,1997,Pocket Star
64658,749316411,Family Man,1996,Mandarin
64660,1551664941,Cowboy,1999,Mira
64662,155204145X,The Pirate,1998,DH Audio
64664,399145788,Soft Focus,1999,Putnam Publishing Group
64666,067101966X,Sweet Fortune,1998,Pocket
64668,1551666243,Man With A Past,2000,Mira
64670,671011359,Hidden Talents,1997,Pocket
64672,515128015,Eclipse Bay,2000,Jove Books
64674,155166903X,The Ties That Bind,2002,Mira
64676,1551668513,Wedding Night,2001,Mira
64678,425192504,Together in Eclipse Bay,2003,Berkley Publishing Group
64680,1551667983,True Colors,2001,Mira
64682,1551665956,Between The Lines,2000,Mira
64684,399147926,Smoke in Mirrors,2002,Putnam Adult
64686,671019643,The Golden Chance,1997,Pocket Star
64688,373833512,Waiting Game,1998,Harlequin
64690,671728555,Perfect Partners,1992,Pocket
64692,1551669587,Uneasy Alliance,2002,Mira
64694,671523104,Sharp Edges,1998,Atria
64696,671523082,Flash,1998,Atria
64698,1551661586,Witchcraft,1996,Mira
64700,1551665247,Ghost Of A Chance,1999,Mira
64702,155166013X,Test Of Time,1994,Mira
64704,671778706,GRAND PASSION,1994,Atria
64706,1551662701,Lady'S Choice,1997,Mira
64708,1551664372,Pirate,1998,Mira
64710,373252773,Test Of Time,1987,Harlequin
64712,373834772,Stolen Memories,2001,Harlequin
64714,373806914,To Tame The Hunter (Silhouette Promo),2000,Silhouette
64716,446363820,Gift of Fire,1993,Warner Books
64718,445200340,Sweet Starfire,1986,Warner Books
64720,446363812,Gift of Gold,1993,Warner Books
64722,1551664623,Adventurer,1998,Mira
64724,373832699,Ties That Bind (Best Of The Best),1993,Harlequin
64726,671008137,FAMILY MAN,1996,Pocket
64728,671778714,HIDDEN TALENTS,1993,Pocket
64730,671516914,Trust Me,1995,Pocket Books
64732,373833180,Chance Of A Lifetime,1994,Harlequin
64734,373835353,Bedazzled,2002,Harlequin
64736,671024329,Grand Passion,1998,Pocket
64738,671778722,GRAND PASSION,1994,Pocket Star
64740,373832702,Between The Lines (Best Of The Best),1993,Harlequin
64742,671523066,Eye of the Beholder,1999,Atria
64744,1551668173,Shared Dream,2001,Mira
64746,037321801X,Worth the Risk,2002,Silhouette
64748,373835256,Family Passions,2002,Harlequin
64750,373832443,Dreams Part 1 Amd 2  (Jane Krentz Reissue) (Dreams),1992,Harlequin
64752,1593553196,Smoke in Mirrors,2004,Brilliance Audio
64754,373252684,Chance Of A Lifetime,1987,Harlequin
64756,671728547,SWEET FORTUNE : SWEET FORTUNE,1991,Pocket
64758,671019627,Silver Linings,1997,Pocket
64760,373200951,Dreamscape (By Request Series) Volume 5 (By Request),1993,Harlequin
64762,434002011,Perfect Partners,1995,William Heinemann
64764,373834128,Harlequin 50th Anniversary Collection #4 (Private Eye; Beguiled),1999,Harlequin
64766,786247487,A Woman's Touch (Thorndike Famous Authors),2002,Thorndike Press
64768,671044370,Trust Me,2001,Audioworks
64770,373835981,The Private Eye (Harlequin Single Title),2004,Harlequin
64772,1551662000,Full Bloom,1997,Harlequin Mills  Boon Ltd
64774,1568957602,Eye of the Beholder (Wheeler Large Print Book Series (Cloth)),1999,Wheeler Publishing
64776,1551661489,Legacy,1996,Mira Books
64778,671728563,FAMILY MAN : FAMILY MAN,1993,Pocket
64780,671524194,DEEP WATERS,1997,Atria
64782,399150730,Truth or Dare,2003,Putnam Publishing Group
64784,743457226,Deep Waters,2010,Pocket
64786,078620687X,Shield's Lady (Thorndike Large Print Basic Series),1996,Thorndike Pr
64788,786209119,Sweet Starfire (Five Star Romance),1997,Five Star Western
64790,743482875,Grand Passion,2003,Pocket Books
64792,1551660628,Joy,1995,Mira
64794,373152949,Main Attraction (Best Of The Best Audio) (Best of the Best Audio),1995,Silhouette
64796,1551663155,Woman'S Touch,1998,Mira
64798,505519070,Whirlwind Courtship (Love Spell),1993,Love Spell
64800,786265647,Twist of Fate (Thorndike Press Large Print Americana Series),2004,Thorndike Press
64802,373832680,Twist Of Fate,1993,Harlequin
64804,749316810,Silver Linings,1996,Mandarin
64806,445206586,Gift of Gold,1988,Warner Books
64808,373251211,Call It Destiny,1984,Harlequin
64810,445203366,Coral Kiss,1987,Warner Books
64812,373252099,The Ties That Bind,1986,Harlequin
64814,446606847,Midnight Jewels,1998,Warner Books
64816,373835868,Everybody's Talking,2003,Harlequin
64818,373835361,One More Time,2003,Silhouette
64820,671576135,Sharp Edges,1998,Simon  Schuster Audio
64822,671886525,TRUST ME  CASSETTE,1995,Simon  Schuster Audio
64824,373834969,Legacy,2001,Harlequin
64826,61084638,Dangerous Men &amp; Adventurous Women: Romance Writers on the Appeal of the Romance,1996,Harper Mass Market Paperbacks (Mm)
64828,671046888,Sharp Edges,1999,Simon  Schuster Audio
64830,446365327,Sweet Starfire,1994,Warner Books
64832,1551666391,Joy,2000.0,Mira
64834,425192857,Soft Focus,2003.0,Berkley Publishing Group
64836,445202319,Crystal Flame,1986.0,Warner Books
64838,671573020,Divining Women (Ay Spoken Word - Gibbons),2004,Audioworks
64841,375703055,Ellen Foster,1997,Vintage Books
64844,399142991,On the Occasion of My Last Afternoon,1998,Putnam Publishing Group
64847,380722704,Charms for Easy Life,1994,Avon
64850,375703063,A Virtuous Woman (Oprah's Book Club (Paperback)),1997,Vintage Books
64853,783801157,Ellen Foster (G K Hall Large Print Book Series (Cloth)),1998,Thorndike Pr
64856,380725576,Charms for the Easy Life,1995,Perennial
64859,380726815,Sights Unseen,1996,Avon
64862,380732149,On the Occasion of My Last Afternoon,1999,Perennial
64865,399137912,Charms for the Easy Life,1993,Putnam Publishing Group
64868,399151605,Divining Women,2004,Putnam Publishing Group
64871,394757572,Ellen Foster (Vintage contemporaries),1988,Vintage Books
64874,785727442,Charms for the Easy Life,1999,Sagebrush Bound
64877,067972866X,Ellen Foster,1990,Random House~trade
64880,380729725,Sights Unseen,1997,Perennial
64883,1565122062,A Virtuous Woman,1997,Algonquin Books of Chapel Hill
64886,399139869,Sights Unseen,1995,Putnam Pub Group
64889,1565122054,Ellen Foster,1997,Algonquin Books of Chapel Hill
64892,679728449,A Virtuous Woman,1990,Random House Inc
64895,945575335,A Cure for Dreams,1991,Algonquin Books of Chapel Hill
64898,912697520,Ellen Foster,1987,Algonquin Books Of Chapel Hill
64901,671885677,ELLEN FOSTER CASSETTE,1996,Simon  Schuster Audio
64904,945575092,Virtuous Woman,1989,Algonquin Books Of Chapel Hill
64907,679419152,Nothin' but Good Times Ahead,1993,Random House Inc
64908,375503994,Shrub: The Short but Happy Political Life of George W. Bush,2000,Random House Trade
64909,375757147,Shrub : The Short but Happy Political Life of George W. Bush,2000,Vintage Books USA
64910,679754881,Nothin' but Good Times Ahead,1994,Vintage Books USA
64911,679404465,You Got to Dance With Them What Brung You: Politics in the Clinton Years,1998,Random House Inc
64912,783802021,You Got to Dance With Them What Brung You (G K Hall Large Print Book Series (Cloth)),1998,Thorndike Pr
64913,679754873,You Got to Dance With Them What Brung You: Politics in the Clinton Years,1999,Vintage Books USA
64914,826308791,The Education of Little Tree (A Zia Book),1986,University of New Mexico Press
64915,826328091,The Education of Little Tree,2001,University of New Mexico Press
64916,440193443,The Vengeance Trail of Josey Wales,1980,Bantam Books (Mm)
64917,385300824,Watch for Me on the Mountain/ (Originally Published As : Cry Geronimo),1990,Delta Trade Paperbacks
64919,826312330,Education of Little Tree,1990.0,University of New Mexico Press
64920,140259198,The Island of the Day Before,1996,Penguin Books
64924,151006903,Baudolino,2002,Harcourt
64928,3423105518,Name Der Rose,0,Distribooks Int'l+inc
64932,330284142,Name of the Rose,0,Pan Books Ltd
64936,3446180850,Die Insel des vorigen Tages.,1999,Carl Hanser
64940,151446474,The Name of the Rose,1983,Harcourt
64944,446322180,Name of the Rose-Nla,1984,Warner Books
64948,2253033138,Le Nom de la rose,2002,LGF
64952,446357200,Name of the Rose,1994,Warner Books (Mm)
64956,446344109,Name of the Rose,1986,Warner Books
64960,3446200487,Baudolino.,2001,Carl Hanser Verlag
64964,345368754,Foucault's Pendulum,1990,Ballantine Books
64968,345418271,Foucault's Pendulum,1997,Ballantine Books
64972,674810511,Six Walks in the Fictional Woods,1995,Harvard University Press
64976,330314971,Focaults Pendulum,0,Pan Books Ltd
64980,156001314,The Name of the Rose: including Postscript to the Name of the Rose,1994,Harvest Books
64984,8426411886,El Pendulo de Foucault,2000,Lumen Espana
64988,8426411487,El Nombre De La Rosa/The Name Of The Rose,1985,Sites/Lumen Books
64992,3423120398,Wie man mit einem Lachs verreist und andere nÃ?Â¼tzliche RatschlÃ?Â¤ge.,1995,Dtv
64996,3423122870,Im Wald der Fiktionen. Sechs StreifzÃ?Â¼ge durch die Literatur.,1996,Dtv
65000,151910790,Travels in Hyperreality: Essays,1986,Harcourt
65004,8845210669,Il Nome Della Rosa,1997,Distribooks
65008,1860219470,The Name of the Rose (Reed Audio),1995,Random House Audiobooks
